	Date	TD	YD	Release	Daily	%+-YD	%+-LW	Theatre	Avg	To Date	Days	Distributor	google trends
0	2020-11-22	1	1	Freaky	$306,260	-46%	-57.3%	2,057	$148	$5,653,445	10	"Universal Pictures

"	3.2123960695389284
1	2020-11-22	2	2	The War with Grandpa	$202,049	-41.8%	-41.8%	1,688	$119	$16,196,728	45	"101 Studios

"	0.5492957746478874
2	2020-11-22	3	3	Let Him Go	$177,245	-44.6%	-54.8%	1,907	$92	$7,943,440	17	"Focus Features

"	1.1904761904761907
3	2020-11-22	4	4	Come Play	$139,565	-47%	-39.5%	1,364	$102	$8,067,170	24	"Focus Features

"	4.126984126984127
4	2020-11-22	5	6	Honest Thief	$110,649	-45.3%	-38.3%	1,254	$88	$13,004,419	45	"Open Road Films (II)

"	0.9736842105263158
5	2020-11-22	6	5	The Santa Clause2020 Re-release	$106,000	-48.5%	-	1,581	$67	$461,000	3	"Walt Disney Studios Motion Pictures

"	0.0
6	2020-11-22	7	7	Vanguard	$97,652	-37%	-	1,375	$71	$380,428	3	"Gravitas Ventures

"	5.668934240362814
7	2020-11-22	8	9	The Last Vermeer	$55,891	-34.8%	-	912	$61	$225,691	3	"TriStar Pictures

"	0.41
8	2020-11-22	9	10	Elf2020 Re-release	$50,000	-37.5%	+42.9%	259	$193	$353,568	10	"New Line Cinema

"	0.0
9	2020-11-22	10	11	True to the Game 2	$46,852	-30.8%	-45%	216	$216	$993,782	17	"Faith Media Distribution

"	0.43
10	2020-11-22	11	8	Gekijouban Fate/Stay Night: Heaven's Feel - III. Spring Song	$40,000	-55.6%	-	304	$131	$200,000	5	"Fathom Events

"	0.0
11	2020-11-22	12	13	Buddy Games	$35,045	-42%	-	401	$87	$150,497	3	"Paramount Pictures

"	0.45
12	2020-11-22	13	12	Guardians of the Galaxy2020 Re-release	$33,000	-47.6%	-66.3%	815	$40	$542,000	10	"Walt Disney Studios Motion Pictures

"	0.0
13	2020-11-22	14	15	The New Mutants	$13,765	-22.3%	-43.3%	105	$131	$23,813,079	87	"20th Century Studios

"	3.1928480204342278
14	2020-11-22	15	16	Come Away	$9,950	-36.3%	-64.3%	264	$37	$165,556	10	"Relativity Media

"	0.8867924528301887
15	2020-11-22	16	18	Ammonite	$7,075	-24%	-72%	180	$39	$110,935	10	"Neon

"	0.5686274509803921
16	2020-11-22	17	17	The Empty Man	$6,728	-39.3%	-66.9%	202	$33	$2,965,919	31	"20th Century Studios

"	0.13333333333333333
17	2020-11-22	18	14	The Forgotten Carols	$6,353	-85.7%	-	58	$109	$103,393	3	"Purdie Distribution

"	0.0126672
18	2020-11-22	19	19	The Informer	$4,489	-33.2%	-68.4%	63	$71	$286,173	17	"Vertical Entertainment

"	0.4842105263157895
19	2020-11-22	20	20	Embattled	$2,803	-52%	-	68	$41	$15,141	3	"IFC Films

"	0.55
20	2020-11-22	21	21	2 Hearts	$963	-54%	-70.6%	54	$17	$1,345,592	38	"Freestyle Releasing

"	0.4375
21	2020-11-22	22	22	After We Collided	$524	-43.2%	-86%	31	$16	$2,383,018	31	"Open Road Films (II)

"	2.454084086737149
22	2020-11-22	23	23	Pray: The Story of Patrick Peyton	$247	+144.6%	-76.3%	12	$20	$70,694	45	"ArtAffects Entertainment

"	0.0
23	2020-11-22	24	24	The Call	$105	+31.2%	-73.4%	6	$17	$516,191	52	"Atlas Distribution Company

"	12.282690854119432
